"종목번호","종목명"
"072710","농심홀딩스"
"267980","매일유업"
"101530","해태제과식품"
"070960","용평리조트"
"210980","SK디앤디"
"138250","엔에스쇼핑"
"003530","한화투자증권"
"086450","동국제약"
"029530","신도리코"
"100120","뷰웍스"
"001520","동양"
"006060","화승인더"
"122870","와이지엔터테인먼트"
"003920","남양유업"
"091700","파트론"
"024720","한국콜마홀딩스"
"049950","미래컴퍼니"
"003030","세아제강"
"001510","SK증권"
"041510","에스엠"
"108320","실리콘웍스"
"009450","경동나비엔"
"042700","한미반도체"
"004490","세방전지"
"002960","한국쉘석유"
"044490","태웅"
"025980","에머슨퍼시픽"
"095610","테스"
"053800","안랩"
"161000","애경유화"
"065620","제낙스"
"017810","풀무원"
"025860","남해화학"
"066970","엘앤에프"
"008060","대덕전자"
"028300","에이치엘비"
"034120","SBS"
"001720","신영증권"
"030190","NICE평가정보"
"031430","신세계인터내셔날"
"004690","삼천리"
"039840","디오"
"097230","한진중공업"
"004430","송원산업"
"023890","아트라스BX"
"078160","메디포스트"
"036580","팜스코"
"241590","화승엔터프라이즈"
"122900","아이마켓코리아"
"104830","원익머트리얼즈"
"025900","동화기업"
"015750","성우하이텍"
"005500","삼진제약"
"145720","덴티움"
"009290","광동제약"
"126560","현대에이치씨엔"
"051500","CJ프레시웨이"
"005720","넥센"
"032190","다우데이타"
"036420","제이콘텐트리"
"078020","이베스트투자증권"
"213500","한솔제지"
"064760","티씨케이"
"003850","보령제약"
"017940","E1"
"023410","유진기업"
"112610","씨에스윈드"
"043150","바텍"
"013120","동원개발"
"025770","한국정보통신"
"089600","나스미디어"
"086520","에코프로"
"038540","텍셀네트컴"
"002320","한진"
"000050","경방"
"206640","바디텍메드"
"014830","유니드"
"00088K","한화3우B"
"078520","에이블씨엔씨"
"016450","한세예스24홀딩스"
"033660","아주캐피탈"
"038500","삼표시멘트"
"007700","F&F"
"011810","STX"
"008490","서흥"
"101060","SBS미디어홀딩스"
"015350","부산가스"
"017390","서울가스"
"048530","인트론바이오"
"005810","풍산홀딩스"
"200880","서연이화"
"067080","대화제약"
"084690","대상홀딩스"
"079430","현대리바트"
"024660","하림홀딩스"
"007160","사조산업"
"083790","크리스탈"
"084370","유진테크"
"078150","HB테크놀러지"
"002795","아모레G우"
"037710","광주신세계"
"016250","이테크건설"
"182400","에이티젠"
"000400","롯데손해보험"
"249420","일동제약"
"100130","동국S&C"
"003120","일성신약"
"222040","뉴트리바이오텍"
"152330","코리아오토글라스"
"025620","제이준코스메틱"
"080160","모두투어"
"200230","텔콘"
"084110","휴온스글로벌"
"104700","한국철강"
"030520","한글과컴퓨터"
"077970","STX엔진"
"003800","에이스침대"
"119610","인터로조"
"115450","지트리비앤티"
"215000","골프존"
"004130","대덕GDS"
"108790","인터파크"
"082270","젬백스"
"063080","게임빌"
"102460","이연제약"
"092040","아미코젠"
"068240","다원시스"
"099190","아이센스"
"115960","연우"
"214450","파마리서치프로덕트"
"007810","코리아써키트"
"030610","교보증권"
"003230","삼양식품"
"058820","CMG제약"
"033240","자화전자"
"004380","삼익THK"
"033290","코웰패션"
"032350","롯데관광개발"
"031390","녹십자셀"
"031980","피에스케이"
"001630","종근당홀딩스"
"049960","쎌바이오텍"
"016800","퍼시스"
"035810","이지바이오"
"001200","유진투자증권"
"086980","쇼박스"
"002990","금호산업"
"002780","진흥기업"
"009680","모토닉"
"035080","인터파크홀딩스"
"003220","대원제약"
"001500","HMC투자증권"
"004710","한솔테크닉스"
"054950","제이브이엠"
"014200","광림"
"094800","맵스리얼티1"
"241710","코스메카코리아"
"041830","인바디"
"000480","조선내화"
"141080","레고켐바이오"
"214420","토니모리"
"011930","신성이엔지"
"053030","바이넥스"
"033270","유나이티드제약"
"019170","신풍제약"
"194510","파티게임즈"
"001725","신영증권우"
"243070","휴온스"
"036540","SFA반도체"
"013030","하이록코리아"
"122990","와이솔"
"010050","우리종금"
"008730","율촌화학"
"016580","환인제약"
"002390","한독"
"095570","AJ네트웍스"
"057500","SKC 솔믹스"
"001780","알루코"
"007820","에스엠코어"
"003060","에이프로젠제약"
"123100","테라세미콘"
"002250","알보젠코리아"
"000250","삼천당제약"
"195870","해성디에스"
"074600","원익QnC"
"268280","미원에스씨"
"080420","모다이노칩"
"214390","경보제약"
"136490","선진"
"087010","펩트론"
"000155","두산우"
"090470","제이스텍"
"003570","S&T중공업"
"161580","필옵틱스"
"005960","동부건설"
"095340","ISC"
"217480","에스디생명공학"
"064240","홈캐스트"
"005090","삼광글라스"
"035600","KG이니시스"
"000540","흥국화재"
"007690","국도화학"
"016380","동부제철"
"004150","한솔홀딩스"
"002810","삼영무역"
"215360","우리산업"
"141000","비아트론"
"002000","한국유리"
"067290","JW신약"
"010955","S-Oil우"
"043370","평화정공"
"007210","벽산"
"006390","현대시멘트"
"001130","대한제분"
"102710","이엔에프테크놀로지"
"001880","삼호"
"213420","덕산네오룩스"
"060280","큐렉소"
"025000","KPX케미칼"
"082740","두산엔진"
"014620","성광벤드"
"004360","세방"
"016100","리더스코스메틱"
"228850","레이언스"
"215790","이노인스트루먼트"
"095660","네오위즈"
"009580","무림P&P"
"123690","한국화장품"
"900140","코라오홀딩스"
"000430","대원강업"
"200670","휴메딕스"
"060300","레드로버"
"102260","동성코퍼레이션"
"044820","코스맥스비티아이"
"084010","대한제강"
"017960","한국카본"
"019210","와이지-원"
"004870","티웨이홀딩스"
"095720","웅진씽크빅"
"036530","S&T홀딩스"
"086390","유니테스트"
"065160","에프티이앤이"
"138490","코오롱플라스틱"
"005680","삼영전자"
"043610","지니뮤직"
"115160","휴맥스"
"092230","KPX홀딩스"
"015860","일진홀딩스"
"035900","JYP Ent."
"038290","마크로젠"
"003200","일신방직"
"136480","하림"
"183190","아세아시멘트"
"114570","지스마트글로벌"
"115180","큐리언트"
"000140","하이트진로홀딩스"
"079980","휴비스"
"144510","녹십자랩셀"
"225530","보광산업"
"001250","GS글로벌"
"071970","STX중공업"
"192440","슈피겐코리아"
"052260","SK바이오랜드"
"011760","현대상사"
"001940","KISCO홀딩스"
"201490","미투온"
"191420","테고사이언스"
"007390","네이처셀"
"052710","아모텍"
"039570","아이콘트롤스"
"011040","경동제약"
"085370","루트로닉"
"068400","AJ렌터카"
"041140","넥슨지티"
"067160","아프리카TV"
"036000","예림당"
"004700","조광피혁"
"067390","아스트"
"168330","내츄럴엔도텍"
"036800","나이스정보통신"
"003560","IHQ"
"005389","현대차3우B"
"060250","NHN한국사이버결제"
"064260","다날"
"090460","비에이치"
"222800","심텍"
"005740","크라운해태홀딩스"
"005160","동국산업"
"060150","인선이엔티"
"007860","서연"
"000860","강남제비스코"
"002030","아세아"
"089470","현대EP"
"088130","동아엘텍"
"040350","큐로컴"
"027050","코리아나"
"023160","태광"
"234080","JW생명과학"
"036630","세종텔레콤"
"092730","네오팜"
"005690","파미셀"
"000680","LS네트웍스"
"018120","진로발효"
"095270","웨이브일렉트로"
"137940","넥스트아이"
"194370","제이에스코퍼레이션"
"005950","이수화학"
"011370","서한"
"900290","GRT"
"048410","현대아이비티"
"060720","KH바텍"
"121440","골프존뉴딘"
"089140","넥스턴"
"000020","동화약품"
"032500","케이엠더블유"
"001790","대한제당"
"220630","해마로푸드서비스"
"264900","크라운제과"
"000970","한국주철관"
"004250","NPC"
"214180","민앤지"
"001460","BYC"
"082920","비츠로셀"
"008700","아남전자"
"036030","KTH"
"001270","부국증권"
"089030","테크윙"
"045100","한양이엔지"
"092200","디아이씨"
"160550","NEW"
"171120","라이온켐텍"
"006380","카프로"
"004970","신라교역"
"015360","예스코"
"054050","농우바이오"
"036200","유니셈"
"144960","뉴파워프라즈마"
"003545","대신증권우"
"093920","서원인텍"
"178320","서진시스템"
"097955","CJ제일제당 우"
"040910","아이씨디"
"020760","일진디스플"
"039200","오스코텍"
"013520","화승알앤에이"
"900260","로스웰"
"004060","SG세계물산"
"900270","헝셩그룹"
"104480","티케이케미칼"
"034950","한국기업평가"
"000700","유수홀딩스"
"058430","포스코강판"
"003070","코오롱글로벌"
"007720","대명코퍼레이션"
"900300","오가닉티코스메틱"
"033160","엠케이전자"
"183490","엔지켐생명과학"
"035890","서희건설"
"071055","한국금융지주우"
"063570","한국전자금융"
"041440","에버다임"
"000180","성창기업지주"
"004960","한신공영"
"143240","사람인에이치알"
"035150","백산"
"002630","오리엔트바이오"
"046440","KG모빌리언스"
"010690","화신"
"011160","두산건설"
"013990","아가방컴퍼니"
"067830","세이브존I&C"
"036190","금화피에스시"
"033640","네패스"
"068790","DMS"
"018000","유니슨"
"004440","대림씨엔에스"
"012690","모나리자"
"021320","KCC건설"
"084870","TBH글로벌"
"027390","한화갤러리아타임월드"
"005990","매일홀딩스"
"000390","삼화페인트"
"054670","대한뉴팜"
"031330","에스에이엠티"
"001820","삼화콘덴서"
"029960","코엔텍"
"018310","삼목에스폼"
"069110","코스온"
"049070","인탑스"
"067280","멀티캠퍼스"
"039440","에스티아이"
"030210","KTB투자증권"
"001045","CJ우"
"044450","KSS해운"
"060240","룽투코리아"
"140410","메지온"
"053450","세코닉스"
"037950","엘컴텍"
"003280","흥아해운"
"012700","리드코프"
"077360","덕산하이메탈"
"002450","삼익악기"
"013570","디와이"
"094280","효성ITX"
"000320","노루홀딩스"
"232140","와이아이케이"
"143210","핸즈코퍼레이션"
"004540","깨끗한나라"
"011280","태림포장"
"033560","블루콤"
"089980","상아프론테크"
"102280","쌍방울"
"196170","알테오젠"
"091120","이엠텍"
"077500","유니퀘스트"
"067170","오텍"
"109610","에스와이패널"
"082210","옵트론텍"
"036890","진성티이씨"
"002840","미원상사"
"053300","한국정보인증"
"046140","SBS콘텐츠허브"
"052330","코텍"
"014470","부방"
"004840","DRB동일"
"067000","조이시티"
"014280","금강공업"
"023910","대한약품"
"046210","파나진"
"168490","한국패러랠"
"229640","LS전선아시아"
"225570","넷게임즈"
"094480","갤럭시아컴즈"
"123420","선데이토즈"
"004560","현대비앤지스틸"
"054780","키이스트"
"097520","엠씨넥스"
"002460","화성산업"
"021820","세원정공"
"064800","필링크"
"183300","코미코"
"199800","툴젠"
"109960","에이프로젠 H&G"
"017890","한국알콜"
"100250","진양홀딩스"
"011690","유양디앤유"
"061460","한진피앤씨"
"019440","세아특수강"
"900040","차이나그레이트"
"002600","조흥"
"100220","비상교육"
"007660","이수페타시스"
"900250","크리스탈신소재"
"086960","MDS테크"
"000230","일동홀딩스"
"033530","세종공업"
"000490","대동공업"
"066700","테라젠이텍스"
"114810","아이원스"
"083310","엘오티베큠"
"002310","아세아제지"
"206560","덱스터"
"026890","디피씨"
"007980","태평양물산"
"193250","와이제이엠게임즈"
"014790","한라"
"065660","안트로젠"
"052020","에스티큐브"
"004980","성신양회"
"166090","하나머티리얼즈"
"010820","퍼스텍"
"012610","경인양행"
"025560","미래산업"
"117580","대성에너지"
"073070","넥센테크"
"012200","계양전기"
"074430","아미노로직스"
"204990","현성바이탈"
"003460","유화증권"
"004890","동일산업"
"072470","우리산업홀딩스"
"122640","예스티"
"079370","제우스"
"006220","제주은행"
"100700","세운메디칼"
"042520","한스바이오메드"
"236200","슈프리마"
"052790","액토즈소프트"
"069640","엠케이트렌드"
"210540","디와이파워"
"238090","앤디포스"
"090360","로보스타"
"005945","NH투자증권우"
"103590","일진전기"
"084680","이월드"
"103130","웅진에너지"
"004650","창해에탄올"
"071200","인피니트헬스케어"
"002360","SH에너지화학"
"187420","제노포커스"
"038060","루멘스"
"002150","도화엔지니어링"
"044340","위닉스"
"126700","하이비젼시스템"
"003480","한진중공업홀딩스"
"050110","캠시스"
"155650","와이엠씨"
"033500","동성화인텍"
"048550","SM C&C"
"138690","엘아이에스"
"001380","SG충방"
"099320","쎄트렉아이"
"096630","에스코넥"
"107590","미원홀딩스"
"052420","오성엘에스티"
"016610","동부증권"
"091090","세원셀론텍"
"092070","디엔에프"
"011000","진원생명과학"
"248170","샘표식품"
"016880","웅진"
"200780","비씨월드제약"
"073560","우리손에프앤지"
"222420","쎄노텍"
"066980","브레인콘텐츠"
"203690","프로스테믹스"
"067630","에이치엘비생명과학"
"065060","지엔코"
"035620","바른손이앤에이"
"008290","원풍물산"
"083650","비에이치아이"
"090350","노루페인트"
"217730","강스템바이오텍"
"001390","KG케미칼"
"035610","솔본"
"900130","웨이포트"
"151910","나노스"
"267290","경동도시가스"
"131030","디에이치피코리아"
"013580","계룡건설"
"096690","제이스테판"
"017180","명문제약"
"003555","LG우"
"035000","지투알"
"024090","디씨엠"
"080000","에스엔유"
"111110","호전실업"
"219550","한강인터트레이드"
"075580","세진중공업"
"060560","홈센타홀딩스"
"221840","하이즈항공"
"003830","대한화섬"
"047310","파워로직스"
"049520","유아이엘"
"009440","KC그린홀딩스"
"015710","코콤"
"049180","셀루메드"
"053980","오상자이엘"
"950140","잉글우드랩(Reg.S)"
"065510","휴비츠"
"005870","휴니드"
"005390","신성통상"
"251370","와이엠티"
"104200","NHN벅스"
"065680","우주일렉트로"
"002170","삼양통상"
"092130","이크레더블"
"086890","이수앱지스"
"000040","KR모터스"
"001360","삼성제약"
"067990","도이치모터스"
"166480","코아스템"
"094850","참좋은레져"
"028100","동아지질"
"001540","안국약품"
"038880","아이에이"
"078890","가온미디어"
"024950","삼천리자전거"
"052400","코나아이"
"051360","토비스"
"042040","케이피엠테크"
"217270","넵튠"
"900120","씨케이에이치"
"005800","신영와코루"
"205500","액션스퀘어"
"006490","인스코비"
"003650","미창석유"
"023000","삼원강재"
"002300","한국제지"
"016710","대성홀딩스"
"038390","레드캡투어"
"041650","상신브레이크"
"130660","한전산업"
"075180","새론오토모티브"
"005750","대림B&Co"
"233990","하우동천"
"060590","씨티씨바이오"
"225190","삼양옵틱스"
"015890","태경산업"
"228340","동양파일"
"214430","아이쓰리시스템"
"066110","한프"
"030270","에스마크"
"194480","데브시스터즈"
"008350","남선알미늄"
"104540","코렌텍"
"151860","KG ETS"
"134380","미원화학"
"003960","사조대림"
"053610","프로텍"
"004200","고려개발"
"123410","코리아에프티"
"005710","대원산업"
"092600","넥스트칩"
"095500","미래나노텍"
"000650","천일고속"
"032620","유비케어"
"054620","APS홀딩스"
"012170","키위미디어그룹"
"063170","서울옥션"
"016090","대현"
"222110","팬젠"
"121600","나노신소재"
"036560","영풍정밀"
"053350","이니텍"
"195990","유지인트"
"101330","모베이스"
"102120","어보브반도체"
"096775","SK이노베이션우"
"045390","대아티아이"
"006090","사조오양"
"054800","아이디스홀딩스"
"084180","수성"
"227840","현대코퍼레이션홀딩스"
"020710","시공테크"
"092440","기신정기"
"024810","이화전기"
"001530","동일방직"
"011700","한신기계"
"216050","인크로스"
"109740","디에스케이"
"005430","한국공항"
"042420","네오위즈홀딩스"
"046070","코다코"
"010170","대한광통신"
"006370","대구백화점"
"087260","모바일어플라이언스"
"002700","신일산업"
"111820","처음앤씨"
"140860","파크시스템스"
"071280","로체시스템즈"
"069510","에스텍"
"065650","메디프론"
"035510","신세계 I&C"
"058610","에스피지"
"078140","대봉엘에스"
"041910","에스텍파마"
"02826K","삼성물산우B"
"131290","티에스이"
"088800","에이스테크"
"230360","에코마케팅"
"009270","신원"
"002800","신신제약"
"136540","윈스"
"009155","삼성전기우"
"041460","한국전자인증"
"149940","모다"
"000215","대림산업우"
"017900","광전자"
"009160","SIMPAC"
"009310","참엔지니어링"
"003160","디아이"
"012030","동부"
"014100","보령메디앙스"
"058400","KNN"
"008600","윌비스"
"022220","정산애강"
"072020","중앙백신"
"089230","THE E&M"
"025440","대성엘텍"
"034590","인천도시가스"
"205100","엑셈"
"031860","엔에스엔"
"040610","SG&G"
"034940","조아제약"
"003080","성보화학"
"065150","MP그룹"
"002880","대유에이텍"
"111870","삼본정밀전자"
"060570","아이리버"
"004310","현대약품"
"011090","에넥스"
"002900","동양물산"
"049080","기가레인"
"131370","알서포트"
"058530","크레아플래닛"
"090710","디에스티로봇"
"027710","팜스토리"
"049800","우진플라임"
"131970","테스나"
"002820","선창산업"
"054450","텔레칩스"
"002100","경농"
"023760","한국캐피탈"
"101490","에스앤에스텍"
"012160","영흥철강"
"034810","해성산업"
"034300","신세계건설"
"025750","한솔홈데코"
"033320","제이씨현시스템"
"061970","엘비세미콘"
"096240","청담러닝"
"108380","대양전기공업"
"049480","오픈베이스"
"063760","이엘피"
"950130","엑세스바이오"
"190510","나무가"
"004910","조광페인트"
"001340","백광산업"
"017370","우신시스템"
"152550","한국ANKOR유전"
"126600","코프라"
"163560","동일고무벨트"
"211270","AP위성"
"043290","케이맥"
"071460","대유위니아"
"093190","빅솔론"
"009300","삼아제약"
"224060","코디엠"
"123860","아나패스"
"122450","KMH"
"239610","에이치엘사이언스"
"101000","디엠씨"
"003350","한국화장품제조"
"043650","국순당"
"014530","극동유화"
"066620","국보디자인"
"026040","제이에스티나"
"032560","황금에스티"
"119860","다나와"
"003100","선광"
"039560","다산네트웍스"
"079950","인베니아"
"053280","예스24"
"058860","케이티스"
"038870","에코바이오"
"037460","삼지전자"
"204630","화이브라더스코리아"
"042370","비츠로테크"
"010960","삼호개발"
"072870","메가스터디"
"000850","화천기공"
"025320","시노펙스"
"008260","NI스틸"
"092460","한라IMS"
"018500","동원금속"
"900280","골든센츄리"
"006910","보성파워텍"
"053690","한미글로벌"
"225330","씨엠에스에듀"
"067370","선바이오"
"223310","이에스브이"
"037270","YG PLUS"
"057540","옴니시스템"
"033170","시그네틱스"
"149950","아바텍"
"065940","바이오빌"
"250000","보라티알"
"140070","서플러스글로벌"
"900080","에스앤씨엔진그룹"
"100840","S&TC"
"048430","유라테크"
"063160","종근당바이오"
"147760","마이크로프랜드"
"039980","리노스"
"007330","푸른저축은행"
"017040","광명전기"
"041920","메디아나"
"030790","동양네트웍스"
"048870","코아로직"
"014710","사조씨푸드"
"185490","아이진"
"011150","CJ씨푸드"
"041590","젬백스테크놀러지"
"011560","세보엠이씨"
"047770","코데즈컴바인"
"023350","한국종합기술"
"043580","에임하이"
"066900","디에이피"
"056700","신화인터텍"
"039860","나노엔텍"
"015230","대창단조"
"016590","신대양제지"
"241790","오션브릿지"
"225650","쿠첸"
"206650","유바이오로직스"
"008970","동양철관"
"900100","뉴프라이드"
"040420","정상제이엘에스"
"112240","에스에프씨"
"114120","크루셜텍"
"041520","이라이콤"
"099440","스맥"
"009780","엠에스씨"
"006405","삼성SDI우"
"026180","현대정보기술"
"117670","알파홀딩스"
"160980","싸이맥스"
"009770","삼정펄프"
"142280","녹십자엠에스"
"065130","탑엔지니어링"
"067310","하나마이크론"
"078000","텔코웨어"
"012790","신일제약"
"061040","알에프텍"
"064520","바른전자"
"001840","이화공영"
"032790","엠젠플러스"
"033110","이디"
"083930","아바코"
"054210","이랜텍"
"009200","무림페이퍼"
"083640","인콘"
"122350","삼기오토모티브"
"019660","글로본"
"058730","동아에스텍"
"131390","피앤이솔루션"
"173940","에프엔씨엔터"
"084730","팅크웨어"
"004780","대륙제관"
"056090","유앤아이"
"002920","유성기업"
"007110","일신석재"
"009520","포스코엠텍"
"091970","나노캠텍"
"900180","완리"
"134780","화진"
"047400","쌍용머티리얼"
"096640","멜파스"
"234920","자이글"
"192250","케이사인"
"005980","성지건설"
"079970","투비소프트"
"059090","미코"
"087600","픽셀플러스"
"060370","KT서브마린"
"058850","KTcs"
"068330","일신바이오"
"000890","보해양조"
"095910","에스에너지"
"005860","한일사료"
"142760","바이오리더스"
"001020","페이퍼코리아"
"159910","스킨앤스킨"
"005010","휴스틸"
"012320","경동인베스트"
"007540","샘표"
"005620","대성합동지주"
"069920","아이에스이커머스"
"008040","사조동아원"
"036710","심텍홀딩스"
"000500","가온전선"
"208640","썸에이지"
"005420","코스모화학"
"264450","유비쿼스"
"076610","해성옵틱스"
"004450","삼화왕관"
"079960","동양이엔피"
"088910","동우팜투테이블"
"137400","피엔티"
"013870","지엠비코리아"
"012800","대창"
"143540","영우디에스피"
"100090","삼강엠앤티"
"033180","필룩스"
"039830","오로라"
"047080","한빛소프트"
"040300","YTN"
"040160","누리텔레콤"
"079650","서산"
"061250","화일약품"
"019550","SBI인베스트먼트"
"043340","에쎈테크"
"018470","조일알미늄"
"036010","아비코전자"
"014160","대영포장"
"006660","삼성공조"
"024890","대원화성"
"950110","SBI액시즈"
"031510","오스템"
"068290","삼성출판사"
"049630","재영솔루텍"
"067570","엔브이에이치코리아"
"206400","엔터메이트"
"001570","금양"
"066910","손오공"
"005190","동성화학"
"189300","인텔리안테크"
"155660","DSR"
"042510","라온시큐어"
"004080","신흥"
"130580","나이스디앤비"
"083660","CSA 코스믹"
"005070","코스모신소재"
"002230","피에스텍"
"060310","3S"
"027040","서울전자통신"
"039340","한국경제TV"
"045970","코아시아홀딩스"
"053620","태양"
"013310","아진산업"
"043100","솔고바이오"
"042110","에스씨디"
"000300","대유플러스"
"217600","켐온"
"086040","바이오톡스텍"
"078070","유비쿼스홀딩스"
"105840","우진"
"120030","조선선재"
"008250","이건산업"
"036690","코맥스"
"019685","대교우B"
"080520","오디텍"
"084670","동양고속"
"006980","우성사료"
"052770","와이디온라인"
"001750","한양증권"
"189980","흥국에프엔비"
"005305","롯데칠성우"
"065450","빅텍"
"056080","유진로봇"
"204840","지엘팜텍"
"123840","한일진공"
"038680","에스넷"
"137950","제이씨케미칼"
"900050","중국원양자원"
"027740","마니커"
"128820","대성산업"
"037350","성도이엔지"
"007590","동방아그로"
"000590","CS홀딩스"
"003610","방림"
"004720","우리들제약"
"002210","동성제약"
